# Sonnet4.6			
model: sonnet46
職業名：研修講師・インストラクショナルデザイナー			
研修の目的・ゴール・ターゲットの整理に時間を要する			
受講者の現状スキルや課題のヒアリングと分析に多大な時間を要する（複数回の対話が必要）			
学習ギャップの可視化と学習ニーズの特定に時間がかかる			
研修の流れ設計（導入→講義→演習→振り返り）には、教育設計の知見が必須			
スライド制作担当者や外部講師への指示書作成に時間を費やす			
教材制作指示書（トンマナ、内容範囲、演習仕様）の具体化に時間を要する			
WBS、RACIの作成に複数ステークホルダー（人事、現場マネージャー、講師）の調整が必要			
当日運営手順の詳細な設計に時間がかかる			
複数バージョンのレビューと修正に時間を費やす			
AI所要時間：40～60分（中央値：50分）			
AI理由：			
研修設計書の標準フレームワークと初期版の迅速な生成が可能			
学習ギャップ分析の構造化が可能			
研修構成案（章立て、時間配分）の自動生成が得意			
WBS、RACIなどの管理文書のテンプレート作成が迅速			
当日運営手順のドラフト作成が可能			
教材制作指示書の構成案とテキストの高速生成が可能			
ただし、受講者のニーズを深掘りするヒアリングは人間が必須			
実現可能な研修設計（講師のスキル、受講者の学習能力を考慮）には人間の判断が必要			
演習仕様の詳細な教育的工夫には、インストラクショナルデザイン経験が必要			
複数ステークホルダーとの合意形成は人間が主導する必要がある			

##タスク番号3：プレゼン資料作成（研修用スライド・説明資料）			
人間所要時間：6～9時間（中央値：7.5時間）			
人間理由：			
研修の背景・目的・学習ポイントを統合したストーリーラインの構築に時間を要する			
受講者のレベル・背景に合わせた「わかりやすさ」の工夫に時間がかかる			
データや概念の図解には、教育的に効果的な表現方法の選択が必要			
演習内容やケーススタディの設計と具体化に時間を費やす			
受講者のレベルや業界特性に合わせた表現・色使い・言葉遣いの調整に時間がかかる			
スライド資料の細部にわたる修正（わかりやすさ、視認性、学習効果）に時間を要する			
想定質問と回答案作成には、受講者の疑問点の予測が必要			
講師間レビューと改善に時間を費やす			
本番に向けた話し方の練習（話す順番、強調ポイント、演習タイミング）に時間を要する			
AI所要時間：30～42分（中央値：36分）			
AI理由：			
ストーリーライン案の高速生成が可能（導入→知識→演習→まとめ）			
スライド構成案とテキスト原案の迅速な作成が得意			
データの視覚化指示（グラフ種別、図解方法）が効率的			
演習内容の構成案とドラフト文の高速生成が可能			
標準的なQ&A例の自動生成が可能			
ただし、受講者の学習困難を予測することに限界がある			
教育的に有効な「図解」や「言語化」には、教育心理学的な洞察が必要			
演習の「実践的な工夫」には、実務経験に基づく工夫が必要			
受講者のモチベーション向上や理解促進の細部については、教育者としての創意工夫が不可欠			
最終的な教育効果を高めるための磨き上げは人間が主導する必要がある			
まとめ			
タスク	人間所要時間	AI所要時間	短縮率
1. 記事の要約	5時間	18分	94%
2. 指示書の作成	10時間	50分	92%
3. プレゼン資料作成	7.5時間	36分	92%
合計	22.5時間	1時間44分	92%

