# Sonnet4.6
model: sonnet46			
人間所要時間：12時間（範囲：8〜16時間） 人間理由：経営コンサルのプレゼン資料と構造は似ているが、社内文化や経営層の好みへの細かい調整、予算・期待効果の数値作り込みなどがあり、一定の工数を要する。ただしクライアント向けコンサル資料ほど厳密な論理検証を求められないケースも多く、やや短めに設定。			
AI所要時間：2.5時間（範囲：1.5〜3.5時間） AI理由：ストーリーライン・スライド文言・Q&Aドラフトの生成はAIで高速対応可能。グラフ化もデータさえあればAIが提案できる。予算・効果試算の数値妥当性確認と最終デザイン調整は人間作業として残る。削減率：約79%			
【サマリー】			
タスク	人間（中央値）	AI導入後（中央値）	削減率
①記事要約	3.5時間（2.5〜5h）	25分（15〜35min）	約88%
②指示書作成	10時間（7〜14h）	1.5時間（1〜2.5h）	約85%
③プレゼン資料	12時間（8〜16h）	2.5時間（1.5〜3.5h）	約79%
合計	25.5時間	4.5時間	約82%

---
			
# Sonnet4.6 拡張思考			
model: sonnet46T
職業名：企画・マーケティング職			

##タスク番号1: 記事の要約（情報収集・インプット整理）			
人間所要時間：4時間（目安範囲：3〜5時間） 業界ニュース・調査レポート・SNSトレンド・顧客アンケートなど複数ソースを横断的に読み込み、自社企画に関連する部分を「結論→根拠→インサイト」の構造に整理するには、情報の取捨選択と企画への接続判断が必要。経営コンサルタントと比べ資料量はやや少ないが、SNSや定性情報の解釈に時間がかかる。			
AI所要時間：20分（目安範囲：10〜30分） 複数ソースのテキストをまとめてインプットすれば、競合比較・市場サマリー・インサイト抽出を短時間で生成できる。SNSトレンドなどリアルタイム情報は別途収集が必要なため、レビュー・補完込みでの見積もり。			

##タスク番号2: 指示書の作成（企画概要書・クリエイティブ指示書・WBS等）			
人間所要時間：10時間（目安範囲：6〜14時間） 企画概要書・カスタマージャーニー・クリエイティブ指示書（トンマナ・メッセージ・素材要件）・WBS・RACIの作成まで含めると、関係部署（営業・開発・CS）との調整も発生し、複数日にまたがるのが標準。代理店や制作会社向けの指示書は特に精度が求められ、手戻り防止のための確認工数も大きい。			
AI所要時間：1.5時間（目安範囲：1〜2時間） 企画の目的・ターゲット・KPIをインプットすれば、各種指示書の骨格・クリエイティブ指示書のトンマナ案・WBSの叩き台を素早く生成できる。外部パートナーへの最終確認や社内合意形成は人間が担うため、レビュー・修正込みでの見積もり。			

##タスク番号3: プレゼン資料作成（社内外向け企画提案・報告）			
人間所要時間：16時間（目安範囲：12〜20時間） 背景・課題・インサイト・提案・効果のストーリーライン構築から、経営層向けスライドの作成、調査データのグラフ化、予算・期待効果の試算、Q&A準備、上司レビューまで含めると2〜3日が標準。社内文化や経営層の好みへの細かい調整も工数として大きい。			
AI所要時間：2.5時間（目安範囲：1.5〜3.5時間） ストーリーライン・スライド構成・Q&A草案はAIが短時間で生成可能。グラフの実作成・デザイン調整・予算数値の精査・最終レビューは人間が行う必要があるため、トータルでの見積もり。			
【まとめ】時間削減効果の概算			
タスク	人間（中央値）	AI活用後（中央値）	削減率
記事の要約	4時間	0.3時間	約92%
指示書の作成	10時間	1.5時間	約85%
プレゼン資料作成	16時間	2.5時間	約84%
合計	30時間	4.3時間	約86%

---
			
# Opus4.6			
model: opus46
職業名：企画・マーケティング職			

##タスク番号1: 記事の要約（情報収集・インプット整理） 業界ニュース・調査レポート・SNSトレンド・顧客アンケートなどを読み込み、自社企画に関連する部分を抽出して1〜2ページに要約。競合の新商品・キャンペーン・広告施策の調査、市場データのグラフ化、100〜200ページの調査資料を企画会議用の要点資料に再構成。情報を「結論→根拠→インサイト」の構造に整理する。			
人間所要時間：3.5時間（範囲：2.5〜5時間） 人間理由：調査レポートやSNSトレンドの読み込みに1〜1.5時間、競合施策の調査・整理に1〜1.5時間、グラフ化・構造化・体裁調整に30分〜1時間。コンサルと比べ資料の分量がやや少ないが、SNS・口コミなど非定型ソースの幅が広い。			
AI所要時間：40分（範囲：25分〜1時間） AI理由：レポート要約・競合情報の構造化・グラフ用データ整理は数分で完了。SNSトレンドの収集もWeb検索で高速化可能。ただし自社ブランドの文脈に合ったインサイト抽出や、企画の方向性に沿った取捨選択には人間レビューが1〜2回必要。			

##タスク番号2: 指示書の作成（企画推進のための設計・指示） 企画概要書の作成、カスタマージャーニーの可視化、KPI・施策優先順位の整理、クリエイティブ指示書（トンマナ・メッセージ・素材要件）の作成、WBS・RACI・手順書の作成。			
人間所要時間：6時間（範囲：4〜8時間） 人間理由：企画概要書の整理に1〜1.5時間、カスタマージャーニー作成に1〜2時間、クリエイティブ指示書に1〜2時間、WBS・RACI・手順書に1〜2時間。広告代理店や制作会社向けの指示書はトンマナや素材要件の具体化が必要で、社内調整も含め時間がかかる。			
AI所要時間：1.5時間（範囲：1〜2.5時間） AI理由：企画概要書・カスタマージャーニーのドラフト、WBS・RACIテンプレート生成は高速。クリエイティブ指示書もブランドガイドラインを入力すれば叩き台は短時間で作成可能。ただしトンマナの微妙なニュアンスや制作会社との取り決め反映には人間の判断・修正が必要。			

##タスク番号3: プレゼン資料作成（社内外向け企画提案・報告） ストーリーライン構築（背景→課題→示唆→提案→効果）、結論ファースト・1枚1メッセージのスライド作成、データのグラフ化と「So What」明記、実行ステップ・予算・期待効果への落とし込み、想定Q&A作成、リハーサル。			
人間所要時間：8時間（範囲：6〜12時間） 人間理由：ストーリーライン設計に1〜2時間、スライド作成（15〜25枚）に3〜6時間、グラフ化・体裁調整に1〜2時間、Q&A作成に1時間、上司・関係者レビュー・修正に1〜2時間。経営層と営業部門で訴求ポイントが異なるため、オーディエンスに合わせた調整が必要。			
AI所要時間：2.5時間（範囲：1.5〜3.5時間） AI理由：ストーリーライン案・スライド構成・Q&A叩き台・PPTX骨格の生成は短時間で可能。ただし社内文化や経営層の好みに合わせた表現調整、予算・効果試算の根拠確認、リハーサルは人間が担う。			

---
			
# Opus4.6 拡張思考			
model: opus46T
職業名：企画・マーケティング職			

##タスク番号1：記事の要約（情報収集・インプット整理）			
業界ニュース・調査レポート・SNSトレンド・顧客アンケート等を読み込み、自社企画に関連する部分を抽出して要約。100〜200ページの調査資料を「結論→根拠→インサイト」構造で企画会議用の要点資料に再構成する。			
人間所要時間：中央値 3.5時間（範囲：2〜7時間）			
理由：複数ソース（レポート・SNS・アンケート）の読み込みに1〜2.5時間、競合の新商品・キャンペーン調査と差別化ポイント整理に0.5〜1.5時間、データのグラフ化とサマリー作成・推敲に1〜2時間。コンサルタントほど資料ページ数は多くないが、SNSやアンケートなど情報ソースの種類が多い点が特徴。			
AI所要時間：中央値 25分（範囲：10分〜50分）			
理由：レポートやアンケートデータの要約・競合情報の整理はAIが数分で処理可能。SNSトレンド分析もデータを投入すれば高速に構造化できる。人間はインサイトの妥当性チェック・自社文脈への読み替え・企画方向性との整合確認に10〜30分を充てる。			

##タスク番号2：指示書の作成（企画推進のための設計・指示）			
企画概要書の作成、カスタマージャーニーの可視化、KPI・施策優先順位の整理、クリエイティブ指示書（トンマナ・メッセージ・素材要件）、WBS・RACI・手順書の作成。			
人間所要時間：中央値 7時間（範囲：4〜14時間）			
理由：企画概要書・ターゲット定義に1〜2時間、カスタマージャーニー作成に1〜3時間、KPI設計と施策優先順位整理に1〜2時間、広告代理店・制作会社向けクリエイティブ指示書に1〜3時間、WBS・RACI・手順書に1〜3時間。外部パートナーへの指示書は認識齟齬防止のため記述精度が求められ、工数がかかりやすい。			
AI所要時間：中央値 1.5時間（範囲：45分〜3時間）			
理由：企画概要書・カスタマージャーニーの雛形・WBS・RACIはAIが短時間でドラフト生成可能。クリエイティブ指示書もトンマナやメッセージ案のたたき台を高速に出せる。ただしブランドの世界観・代理店との過去の経緯・社内政治的な優先順位判断は人間が担う必要があり、レビュー・調整に45分〜2時間を要する。			

##タスク番号3：プレゼン資料作成（社内外向け企画提案・報告）			
「背景→課題→示唆→提案→効果」のストーリーライン構築、1枚1メッセージのスライド作成、データのグラフ化、予算・効果試算、想定Q&A作成、プレゼン練習。			
人間所要時間：中央値 9時間（範囲：5〜18時間）			
理由：ストーリーライン設計に1〜2.5時間、スライド作成（10〜25枚想定）に3〜7時間、データのグラフ化・予算表・効果試算の作成に1〜3時間、Q&A作成・上司レビューに1〜3時間、プレゼン練習に1〜2時間。経営層の好みや社内文化に合わせた表現調整に意外と時間がかかる。			
AI所要時間：中央値 2.5時間（範囲：1〜5時間）			
理由：ストーリーライン案・スライド構成・メッセージ案・Q&Aドラフトは数分で生成可能。予算テンプレートや効果試算のフレームワークもAIが提示できる。一方、経営層の意思決定スタイルに合わせたトーン調整、社内文化を踏まえた表現の微修正、数値の最終確認、プレゼン練習は人間が行う必要があり1〜3.5時間のレビュー・仕上げ工程が残る。			
まとめ			
タスク	人間（中央値）	AI活用時（中央値）	削減率
①要約	3.5時間	25分	約88%
②指示書作成	7時間	1.5時間	約79%
③プレゼン資料	9時間	2.5時間	約72%
合計	19.5時間	4.4時間	約77%

---
			
# Haiku			
model: haiku45

##タスク番号1：記事の要約（情報収集・インプット整理）			
人間所要時間：4～6時間（中央値：5時間）			
人間理由：			
業界ニュース、調査レポート、SNSトレンド、顧客アンケートなど多様な情報源の確認が必要			
100～200ページの長文調査資料の精読と内容理解に時間を要する			
競合企業の動向調査では、複数企業の情報を横断的に比較・分析する必要がある			
市場規模・成長率・ターゲット属性などの数値データの解釈とグラフ化に時間がかかる			
「結論→根拠→インサイト」の構造に再構成する思考プロセスが必要			
企画会議で活用するレベルへの情報圧縮には、マーケティング知見に基づく判断が必須			
AI所要時間：15～20分（中央値：18分）			
AI理由：			
大量のテキスト・データソースの高速読み込みと要点抽出が得意			
複数の情報源から共通テーマや相違点を自動抽出可能			
データの分類・集計・グラフ化の指示が短時間で実行可能			
「結論→根拠→インサイト」の標準フレームワークへの自動適用が可能			
ただし、自社ビジネスとの関連性の深い解釈や戦略的インサイト導出には限界がある			
マーケティング戦略との結びつけには人間の業界知見が必要			

##タスク番号2：指示書の作成（企画推進のための設計・指示）			
人間所要時間：7～10時間（中央値：8.5時間）			
人間理由：			
新商品企画の意図・ターゲット設定には、市場戦略の深い理解が必要			
カスタマージャーニーの作成には、顧客行動の詳細な観察と分析が欠かせない			
KPI設定と施策の優先順位付けには、ビジネス目標と実行可能性のバランス判断が必要			
クリエイティブ指示書（トンマナ、メッセージ、素材要件）は、ブランド戦略の理解に基づく作成が必須			
WBS、RACIの作成には、多くのステークホルダー（営業、開発、CS等）との調整が必要			
広告代理店や制作会社への具体的な指示内容の精度確保に時間を要する			
複数バージョンの検討と関係者との確認に時間がかかる			
AI所要時間：35～50分（中央値：42分）			
AI理由：			
カスタマージャーニーマップの標準テンプレートの自動生成が可能			
WBS、RACIなどのプロジェクト管理文書の迅速な初期版作成が得意			
企画概要書の構成案とドラフトテキストの高速生成が可能			
KPI設定の標準例や業界ベンチマークの提示が可能			
ただし、自社ブランドの独自性やマーケット特性を反映した戦略的な内容の深掘りが不足			
クリエイティブ指示書は業界知見や過去の成功事例との結びつけが必要			
ステークホルダーとの合意形成には人間が主導する必要がある			
複数回の修正と最終化が人間の判断で必須			

##タスク番号3：プレゼン資料作成（社内外向け企画提案・報告）			
人間所要時間：5～8時間（中央値：6.5時間）			
人間理由：			
企画の背景・課題・インサイト・提案を統合したストーリーラインの構築に時間を要する			
経営層と営業部門、外部パートナーという異なる対象者ごとにメッセージを最適化する必要がある			
データのグラフ化と「So What」の明記には、分析的思考と視覚化スキルが必須			
実行ステップ・リソース・予算・期待効果の落とし込みには、実現可能性の検証が必要			
社内文化や経営層の好みに合わせた表現・色使い・言葉遣いの調整に時間がかかる			
想定質問と回答案作成には、対象者の懸念点や関心事の予測が欠かせない			
プレゼン練習（話し順、強調ポイント、タイミング）に時間を費やす			
AI所要時間：28～38分（中央値：33分）			
AI理由：			
ストーリーライン案の高速生成が可能（背景→課題→示唆→提案→効果のフレームワーク活用）			
スライド構成案とテキスト原案の迅速な作成が得意			
データ分析と視覚化指示（グラフ種別、レイアウト）の効率的な提案が可能			
標準的なQ&A例の自動生成が迅速			
複数対象者向けのメッセージバリエーション案の作成が可能			
ただし、自社ブランドのトーンや経営層の意思決定スタイルへの深い理解が限定的			
説得力のあるストーリーラインの最終調整には人間の判断が必要			
デザイン・色使い・トーン調整は人間によるレビューと修正が不可欠			
実際のプレゼン練習と即時フィードバックは人間が主導			
まとめ			
タスク	人間所要時間	AI所要時間	短縮率
1. 記事の要約	5時間	18分	94%
2. 指示書の作成	8.5時間	42分	92%
3. プレゼン資料作成	6.5時間	33分	92%
合計	20時間	1時間33分	92%
